"","texto","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","datahoraposi","POSTID","datadate","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund"
"85","Weltweit werden #Menschen zu #Unrecht in Gefängnissen festgehalten. Der 18. März macht als #Aktionstag für die #Freiheit politischer Gefangener genau darauf aufmerksam. Ich möchte heute die Gelegenheit nutzen, auf Schicksale aufmerksam zu machen, die mich persönlich sehr berühren und für die ich mich politisch einsetze!

#WeStandBYyou sage ich weiterhin zu Andrei Kuznechyk in #Belarus. Dieser freischaffende #Journalist bei Radio Svaboda wurde am 25. November 2021 verhaftet und wird seither ohne Anklage festgehalten. Er gehört zu den vielen politischen Gefangenen, die im Rahmen der Proteste gegen Alexander Lukaschenko festgenommen wurden. 

In Zeiten, in denen in #Russland 🇷🇺 unzählige Menschen inhaftiert werden, weil sie gegen den Angriffskrieg in der #Ukraine 🇺🇦 auf die Straße gehen, bedanke ich mich bei allen, die sich für politische Gefangene einsetzen! Besonders erwähnen möchte ich die Internationale Gesellschaft für Menschenrechte und die Organisation Libereco. Beide unterstütze ich im Rahmen meiner Möglichkeiten, um für das Recht und die Freiheit politischer Gefangener zu kämpfen!","2022-03-18T06:02:29","Publicación de Facebook",533,4,NA,10,0,0,"2022-03-18","06:02:29",2022-03-18 06:02:29,"it werden ",2022-03-18,"menschenframed","bild","profesional","Partenschaft",NA,1,"Aktion"
"86","Weltweit werden #Menschen zu #Unrecht in Gefängnissen festgehalten. Der 18. März macht als #Aktionstag für die #Freiheit politischer Gefangener genau darauf aufmerksam. Ich möchte heute die Gelegenheit nutzen, auf Schicksale aufmerksam zu machen, die mich persönlich sehr berühren und für die ich mich politisch einsetze!

In #Kuba 🇨🇺 ist nach wie vor Luís Frómeta Compte unschuldig in Haft, nachdem er eine Demonstration und Polizeigewalt mit seinem Handy gefilmt hat. Als politischer Gefangener und angeblicher Rädelsführer der Demonstration sitzt der gesundheitlich angeschlagene Dresdner mit 30 Männern in einer Zelle. Sein Urteil: 25 Jahre Gefängnis. Unfassbar, ich fordere #FreeLuis !

In Zeiten, in denen in #Russland 🇷🇺 unzählige Menschen inhaftiert werden, weil sie gegen den Angriffskrieg in der #Ukraine 🇺🇦 auf die Straße gehen, bedanke ich mich bei allen, die sich für politische Gefangene einsetzen! Besonders erwähnen möchte ich die Internationale Gesellschaft für Menschenrechte und die Organisation Libereco - Partnership for Human Rights. Beide unterstütze ich im Rahmen meiner Möglichkeiten, um für das Recht und die Freiheit politischer Gefangener zu kämpfen!","2022-03-18T04:00:19","Publicación de Facebook",1448,50,NA,55,4,24,"2022-03-18","04:00:19",2022-03-18 04:00:19,"it werden ",2022-03-18,"menschenframed","bild","profesional","Partenschaft",NA,1,"Aktion"
"87","Weltweit werden #Menschen zu #Unrecht in Gefängnissen festgehalten. Der 18. März macht als #Aktionstag für die #Freiheit politischer Gefangener genau darauf aufmerksam. Ich möchte heute die Gelegenheit nutzen, auf Schicksale aufmerksam zu machen, die mich persönlich sehr berühren und für die ich mich politisch einsetze!

In #Kuba 🇨🇺 ist nach wie vor Luís Frómeta Compte unschuldig in Haft, nachdem er eine Demonstration und Polizeigewalt mit seinem Handy gefilmt hat. Als politischer Gefangener und angeblicher Rädelsführer der Demonstration sitzt der gesundheitlich angeschlagene Dresdner mit 30 Männern in einer Zelle. Sein Urteil: 25 Jahre Gefängnis. Unfassbar, ich fordere #FreeLuis !

In Zeiten, in denen in #Russland 🇷🇺 unzählige Menschen inhaftiert werden, weil sie gegen den Angriffskrieg in der #Ukraine 🇺🇦 auf die Straße gehen, bedanke ich mich bei allen, die sich für politische Gefangene einsetzen! Besonders erwähnen möchte ich die Internationale Gesellschaft für Menschenrechte und die Organisation Libereco - Partnership for Human Rights. Beide unterstütze ich im Rahmen meiner Möglichkeiten, um für das Recht und die Freiheit politischer Gefangener zu kämpfen!","2022-03-18T04:00:19","Publicación de Facebook",1448,50,NA,55,4,24,"2022-03-18","04:00:19",2022-03-18 04:00:19,"it werden ",2022-03-18,"menschenframed","bild","profesional","Partenschaft",NA,1,"Aktion"
"88","Impfvorsorge statt #Impfpflicht!
Die Unionsfraktion liefert ein Vorsorgekonzept für mögliche weitere Corona-Wellen. Ein wichtiger Baustein des Antrags ist neben dem abgestuften Impfmechanismus und einer verstärkten Impfkampagne ein Impfregister.

#Impfvorsorge #Corona #Impfkampagne #Impfregister #Pandemie #Impfenhilft

CDU/CSU-Bundestagsfraktion","2022-03-18T02:00:34","Publicación de Facebook",492,1,NA,13,4,0,"2022-03-18","02:00:34",2022-03-18 02:00:34,"rsorge sta",2022-03-18,"Infografik","worter","gebastelt","CORONA","Schutzkonzept der CDU",1,"meinung_teilen"
"89","⚡ #Strom darf kein Luxus sein! ⚠️
Unser Vorschlag: Alle Möglichkeiten ergebnisoffen prüfen und nur bei vorhandener #Versorgungssicherheit #Kraftwerke 🏭 stilllegen.

Und der weitere Ausbau der #Erneuerbaren braucht genau jetzt auch klare Perspektiven für #Energiespeicher! Denn ab 50% Erneuerbaren #Energien im Netz, geht es nur mit #Speichern - egal ob beim #Strom oder auch bei der #Wärme.

Mehr Infos gibt's auf cducsu.de

CDU/CSU-Bundestagsfraktion","2022-03-18T00:00:17","Publicación de Facebook",342,2,NA,4,1,0,"2022-03-18","00:00:17",2022-03-18 00:00:17,"om darf ke",2022-03-18,"Unterseiteworter","inzwischen","gebastelt","Energie","Energieversorgung",1,"meinung_teilen"
"90","🤔 Wo bleibt hier eigentlich der #Wumms, Herr Bundeskanzler?

Die #Energiepreise belasten uns alle enorm. Das scheint die #BReg nicht wahrzunehmen. Wir schon! Es braucht jetzt unbürokratische Maßnahmen, die sofort & spürbar wirken.

📉Runter mit der Strom- & Energiesteuer
📉Runter mit der Mehrwertsteuer auf 7%
⚖Kalte Progression ausgleichen
❌Ökosteuer abschaffen

Mehr Infos gibt's auf 👉 cducsu.de

CDU/CSU-Bundestagsfraktion","2022-03-17T22:03:36","Publicación de Facebook",412,6,NA,1,0,0,"2022-03-17","22:03:36",2022-03-17 22:03:36,"leibt hier",2022-03-17,"Unterseiteworter","inzwischen","gebastelt","Energie","Preissteigerung",1,"böse"
"91","❓ Was ist, wenn #Russland 🇷🇺 die Gaslieferungen kürzt oder stoppt? 
❓ Wie ist ein Importstopp über #NordStream1 möglich? 
❓ Wie werden wir bis spätestens Winter 23/24 unabhängig von russischen Importen? 

❌Auf diese Fragen hat die #Bundesregierung keine Antwort.

Wir fordern eine Analyse aller Optionen. 
Mehr zu unserem Antrag lesen Sie auf cducsu.de

CDU/CSU-Bundestagsfraktion","2022-03-17T13:45:47","Publicación de Facebook",810,5,NA,19,2,1,"2022-03-17","13:45:47",2022-03-17 13:45:47,"ist, wenn ",2022-03-17,"Unterseiteworter","inzwischen","gebastelt","Energie","Ukraine / Energieversorgung",1,"böse"
"92","Der russische Angriffskrieg auf die #Ukraine 🇺🇦 ist eine Zeitenwende. 

Wir müssen so schnell wie möglich die Abhängigkeit von 🇷🇺 Rohstoffen minimieren und setzen uns für eine souveräne, sichere & bezahlbare #Energieversorgung ein.

Wie? Alle Infos gibt's auf cducsu.de

CDU/CSU-Bundestagsfraktion","2022-03-17T11:45:59","Publicación de Facebook",0,0,NA,0,0,0,"2022-03-17","11:45:59",2022-03-17 11:45:59,"ssische An",2022-03-17,"worter","worter","gebastelt","Energie","Ukraine / Energieversorgung",1,"meinung_teilen"
"93","Mit dem Impfvorsorgegesetz der CDU/CSU-Bundestagsfraktion gewappnet gegen mögliche weitere Corona-Wellen:

🖥️💉 Impfregister: Sichere Datenbasis, wirksame Pandemiebekämpfung

🗣️📢 Impfkampagne: Bürger gezielt ansprechen, Vertrauen schaffen

⚙️💉 Impfmechanismus: Impfkonzept mit Stufenmodell, der nach klaren Rahmenbedingungen abläuft 

#Impfvorsorge #Corona #Impfregister #Impfkampagne #Pandemie #Impfenhilft","2022-03-17T09:35:07","Publicación de Facebook",486,1,NA,0,3,0,"2022-03-17","09:35:07",2022-03-17 09:35:07,"m Impfvors",2022-03-17,"Infografik","worter","gebastelt","CORONA","Schutzkonzept der CDU",1,"meinung_teilen"
"94","Das erlebt man auch nicht alle Tage…

Soeben wurde ich im Plenum des #Bundestages einstimmig in den Stiftungsrat der #Bundesstiftung #BAUAKADEMIE gewählt. Gestern habe ich mich mit dem Gründungsdirektor Professor Dr. Guido Spars getroffen und mit ihm die zukünftige Zusammenarbeit besprochen.
Fest steht, die BAUAKADEMIE wird ein spannendes und interessantes Bau🏗Projekt mit Digitalisierung, Nachhaltigkeit und Kreislaufwirtschaft.
Ich freue mich drauf. 🤗

https://www.bundesstiftung-bauakademie.de","2022-03-17T08:21:20","Publicación de Facebook",789,17,NA,26,1,0,"2022-03-17","08:21:20",2022-03-17 08:21:20,"lebt man a",2022-03-17,"Unterseiteworter","inzwischen","gebastelt","Bauung","Bauakademie",1,"aktivitäten_teilen"
